CPU,Memory,Cost,Tag,Cloud
59.18,52.31,43.22,n1-standard-2,AWS
46.26,43.56,25.25,n1-standard-1,Azure
47.54,34.57,60.59,n1-standard-2,Azure
56.16,55.54,46.64,Standard_B2ms,Azure
98.0,100.0,35.39,Standard_B2s,GCP
18.55,21.29,21.47,n1-standard-1,AWS
41.11,40.64,43.9,Standard_E2s_v3,GCP
86.78,91.41,23.33,t2.medium,AWS
67.55,76.2,46.59,m5.large,AWS
85.34,56.81,31.05,c5.large,Azure
50.73,47.35,55.55,Standard_B2ms,Azure
50.45,39.13,27.72,t2.medium,GCP
52.69,51.04,30.14,Standard_B2s,Azure
37.33,29.76,51.39,Standard_D2s_v3,Azure
66.65,66.46,48.84,n1-standard-2,Azure
77.0,80.38,6.32,t2.micro,Azure
50.27,44.25,57.68,m5.large,Azure
44.39,37.94,59.52,n1-standard-2,Azure
61.52,70.68,41.92,n2-standard-2,AWS
68.45,84.87,94.15,n1-standard-4,GCP
46.62,60.13,56.06,c5.large,GCP
57.38,47.19,7.95,t2.micro,Azure
45.58,57.06,42.86,n1-standard-2,Azure
66.48,77.49,49.42,c5.large,Azure
24.16,18.65,60.72,m5.large,Azure
66.23,52.53,93.17,n1-standard-4,Azure
17.38,28.73,49.85,Standard_E2s_v3,Azure
68.26,66.06,61.78,c5.xlarge,AWS
47.2,53.46,109.24,n2-standard-4,AWS
28.93,24.98,85.38,Standard_E2s_v3,AWS
43.04,38.73,62.85,n2-standard-2,GCP
57.86,42.92,5.62,t2.micro,AWS
42.72,32.2,80.42,n2-standard-4,GCP
64.35,83.66,22.5,n1-standard-1,AWS
48.82,59.98,18.93,n1-standard-1,Azure
59.03,43.56,28.39,t2.medium,AWS
95.96,100.0,103.1,Standard_D4s_v3,AWS
77.45,56.89,96.52,m5.xlarge,AWS
53.0,58.42,82.79,Standard_D4s_v3,Azure
17.52,14.75,36.11,c5.large,GCP
20.57,24.58,62.78,Standard_E2s_v3,Azure
31.24,45.59,63.51,Standard_B2ms,AWS
58.53,63.28,113.12,c5.xlarge,Azure
24.16,35.4,134.53,n1-standard-4,GCP
10.86,4.58,79.2,n2-standard-4,GCP
55.09,59.98,83.15,Standard_E2s_v3,GCP
53.74,33.09,68.97,m5.large,AWS
67.81,62.8,21.43,n1-standard-1,AWS
59.36,74.71,56.88,n2-standard-2,AWS
92.09,100.0,22.24,n1-standard-1,Azure
81.8,70.36,17.55,n1-standard-1,AWS
74.05,57.57,25.95,t2.medium,Azure
48.0,41.56,11.95,t2.small,AWS
24.34,22.35,33.03,t2.medium,AWS
75.21,54.47,34.82,n2-standard-2,AWS
61.6,44.02,58.04,Standard_E2s_v3,AWS
91.99,70.72,37.03,n1-standard-2,Azure
45.46,31.88,69.54,Standard_D4s_v3,AWS
31.32,26.67,107.87,m5.xlarge,Azure
42.4,49.28,121.12,Standard_D4s_v3,AWS
70.32,72.44,77.11,Standard_D4s_v3,GCP
54.5,43.49,83.15,c5.xlarge,AWS
77.03,83.46,52.58,m5.large,Azure
52.7,46.14,44.37,Standard_B2ms,GCP
51.64,44.22,43.79,Standard_B2ms,GCP
85.37,97.85,47.51,Standard_D2s_v3,Azure
80.61,91.55,11.07,t2.small,Azure
42.49,36.55,52.72,m5.large,AWS
55.5,46.07,19.19,Standard_B2s,Azure
43.29,31.9,41.99,n2-standard-2,AWS
9.95,15.28,18.63,n1-standard-1,AWS
48.46,41.84,110.89,c5.xlarge,Azure
91.78,85.19,57.33,Standard_D2s_v3,AWS
41.26,30.33,42.93,Standard_B2ms,AWS
27.56,31.29,39.33,n1-standard-2,GCP
43.27,37.81,17.7,n1-standard-1,AWS
44.16,49.77,62.0,Standard_D2s_v3,Azure
10.57,5.26,71.09,m5.large,AWS
47.55,38.04,4.67,t2.micro,AWS
76.02,59.8,28.87,n1-standard-1,AWS
49.27,52.96,62.63,Standard_B2ms,GCP
70.68,61.72,124.03,Standard_D4s_v3,AWS
42.82,25.28,32.73,Standard_B2s,AWS
66.54,58.25,51.07,c5.large,GCP
31.73,38.55,6.57,t2.micro,GCP
61.09,59.63,56.58,n1-standard-2,GCP
46.23,41.58,89.56,n1-standard-4,GCP
56.29,58.47,125.62,Standard_D4s_v3,AWS
85.74,64.22,78.57,c5.xlarge,GCP
77.39,87.81,89.73,c5.xlarge,AWS
29.12,31.05,12.96,t2.small,Azure
66.78,51.59,55.51,n2-standard-2,AWS
41.96,47.9,16.35,t2.small,Azure
63.66,68.19,80.88,Standard_D4s_v3,Azure
30.85,42.39,83.88,Standard_E2s_v3,AWS
30.16,35.33,14.21,t2.small,Azure
100.0,92.57,17.04,t2.medium,AWS
36.78,27.36,31.08,t2.medium,Azure
77.86,68.02,20.26,t2.medium,Azure
